Neighborhood,Fish_Frys,Fish_Frys_Score
15215,3,0.3333333333333333
15148,1,0.0
16057,2,0.16666666666666666
15624,1,0.0
15090,1,0.0
15401,1,0.0
16686,1,0.0
15074,2,0.16666666666666666
15239,4,0.5
15143,3,0.3333333333333333
15102,1,0.0
15329,1,0.0
16201,3,0.3333333333333333
15068,5,0.6666666666666666
15425,1,0.0
15017,3,0.3333333333333333
15237,2,0.16666666666666666
15112,2,0.16666666666666666
15012,1,0.0
15906,2,0.16666666666666666
15025,2,0.16666666666666666
15007,1,0.0
16635,1,0.0
15216,4,0.5
16601,4,0.5
12599,1,0.0
15120,3,0.3333333333333333
15219,2,0.16666666666666666
15301,7,1.0
16655,1,0.0
15222,5,0.6666666666666666
15089,2,0.16666666666666666
15333,1,0.0
16235,1,0.0
15218,1,0.0
15022,1,0.0
15106,4,0.5
16335,1,0.0
15122,1,0.0
15003,1,0.0
15101,4,0.5
15963,1,0.0
15317,5,0.6666666666666666
15236,1,0.0
16125,1,0.0
16023,1,0.0
17325,1,0.0
15626,1,0.0
16648,4,0.5
15238,1,0.0
15905,1,0.0
15203,5,0.6666666666666666
15358,1,0.0
15229,1,0.0
16877,1,0.0
15067,1,0.0
15062,1,0.0
15001,6,0.8333333333333334
15009,1,0.0
15024,1,0.0
15642,5,0.6666666666666666
15311,1,0.0
15206,4,0.5
15147,1,0.0
16061,1,0.0
15444,1,0.0
15126,1,0.0
15332,1,0.0
15212,4,0.5
15419,1,0.0
15010,2,0.16666666666666666
15601,3,0.3333333333333333
15636,1,0.0
15065,2,0.16666666666666666
15071,2,0.16666666666666666
15223,1,0.0
15314,2,0.16666666666666666
16101,2,0.16666666666666666
15644,1,0.0
16066,2,0.16666666666666666
15234,1,0.0
15627,1,0.0
15613,2,0.16666666666666666
11400,1,0.0
15108,3,0.3333333333333333
15221,2,0.16666666666666666
15142,1,0.0
15116,2,0.16666666666666666
15104,1,0.0
16002,1,0.0
15021,1,0.0
15063,1,0.0
15227,2,0.16666666666666666
16117,1,0.0
15018,1,0.0
15057,1,0.0
15139,3,0.3333333333333333
15037,2,0.16666666666666666
15666,1,0.0
15205,2,0.16666666666666666
15417,1,0.0
15207,2,0.16666666666666666
16623,1,0.0
15687,1,0.0
15033,1,0.0
15660,1,0.0
16063,2,0.16666666666666666
15846,1,0.0
15344,1,0.0
15145,2,0.16666666666666666
16127,1,0.0
15904,1,0.0
15045,1,0.0
15483,1,0.0
15146,1,0.0
15202,1,0.0
15084,1,0.0
15132,1,0.0
15224,1,0.0
15209,2,0.16666666666666666
15136,1,0.0
15629,1,0.0
15958,1,0.0
16001,1,0.0
15006,1,0.0
16602,2,0.16666666666666666
15061,1,0.0
15220,2,0.16666666666666666
15680,2,0.16666666666666666
15110,1,0.0
16362,1,0.0
15241,1,0.0
15634,1,0.0
15201,1,0.0
15650,1,0.0
15131,1,0.0
16146,1,0.0
15231,1,0.0
15005,1,0.0
15226,1,0.0
15618,1,0.0
15480,1,0.0
